username,date,tweet,fullname
@reyaje18,2025-03-28 23:52,"NAHHH INI MKSDNYA ANJG militer tpi pada goblok bgt suee, mksd kembalikan tni ke barak ya lu ttp tni bela negara tpi gausah masuk ranah sipil apalgi pemerintahan. cpee bgt tdi liat postingan tni pda ga mksdd ora danta bgt ah",reyja
@tiannn_bk,2025-03-28 23:51,"Lu tau engga yg jaga di perbatasan siapa? Yg jaga di daerah rawan konflik siapa lagi kalo bukan TNI? Kalo menurut otak kecil lu bahwa TNI ga berfungsi, tiap hari udah terjadi huru hara dimana-mana. Ulah goblog teuing jadi jalma",Tiannn
@itsusernamesure,2025-03-28 23:51,"Posisi Youngseo ini sebenernya apa gitu wkwk. Beneran seneng apa cuma fomo sok suka dia, biar pas dia debut bisa ngetweet ""i was there since runext?"" ""Idk her but i support her & getting to know her since months ago"" Blablabla 😂",🏎️ 🏁 | TOLAK UU TNI
@BPBDDIY,2025-03-28 23:51,"Tanah longsor (3 titik).
Dampak:
 2 Korban Luka, Pohon tumbang (3 titik), rumah rusak (2 unit), rumah tergenang (2 unit), kandang (1 unit), akses jalan terganggu (5 titik).
Unsur Penanganan: BPBD, Pem. Kalurahan, TNI, POLRI, Instansi terkait, Komunitas Relawan&warga masyarakat.",BPBD DIY
@13_bener,2025-03-28 23:51,"Yogyakarta. Komandan Korem 072/Pamungkas, Brigjen TNI Bambang Sujarwo, S.H., M.Sos., M.M., memimpin Apel Gelar Pasukan dalam rangka Pengamanan VVIP Kunjungan Kerja Wakil Presiden Republik Indonesia di Wilayah DIY. Kegiatan ini berlangsung di Halaman Stadion Mandala Krida.",Koramil 13/Bener
@meruemeri,2025-03-28 23:51,"Bisa kalian?
@Puspen_TNI @DivHumas_Polri",Meruem Mula Eri
@mob_barley17,2025-03-28 23:51,"Pertanyaan bodoh. Basis kekuatan politik tni itu koter. Krn kekuatan politik ini ga dipretelin ya jangan heran kalo warcriminal jd presiden, jgn heran sama uu tni yg baru. Masa begini aja kudu gua jelasin",edward said whaaaa🔻
@Mmahalik2,2025-03-28 23:50,"Pak mahasiswa demo disiksa bapak diam aja? Kelakuan aparat polisi dan tni makin meresahkan, dijalan banyak kendaraan disita secara paksa gmn kita me jalani hidup kl selalu dalam ketakutan? Tolong dong pak bertindak membela rakya bapak, pleasee 🙏",𝕸. 𝔐𝔞𝔥𝔞𝔩𝔦𝔨 ✈️
@PParengan74451,2025-03-28 23:50,"Dalam rangka mempererat sinergitas antara TNI dan Polri untuk mewujudkan situasi Kamtibmas yang kondusif di bulan suci Ramadhan menjelang Idul Fitri 1446 H, 

#polisi #police #polisiviral #polisijatim #viralindonesia #polri #polripresisi #polisiindonesia #tantyasudhirajati",polsek parengan
@hallo897,2025-03-28 23:50,LOL kamu udah baca belum saya dari tadi sudah bilang mention di tweet emang dasarnya saja lu yang ignorance. Nih yah yang mempertegas Bahwa TNI aktif tidak boleh masuk ke lembaga sipil lainnya dan harus pensiun pasal 47 ayat 2,yj9978
@deni_mas87870,2025-03-28 23:50,"Sebenernya orang tua kolot gaptek boomer tau gak sih. Gaada yabg ganggu tni mu para boomer goblokkkkkkk, yang ada tni mu ganggu sipil tolol asu najis banget idiot",bebek goreng madara
@Adhie_Mnoer,2025-03-28 23:50,"Aku slh 1, Rakyat selalu hormat kpd @Puspen_TNI yg sampai detik ini sll siap siaga mnjaga kedaulatan wilayah NKRI.",Abie Zakaria M Noer 🇮🇩
@ndikalkaf,2025-03-28 23:50,yang pengen tau isi draft ruu tni bisa kesini nih,txtanakgendut
@pakatikng,2025-03-28 23:49,"Sekali lagi membuktikan bahwa TNI kita, yg katanya terkuat nomor sekian di dunia, ternyata gada apa2 nya di banding tentara negara lain. Mengartikan tuntutan rakyat saja mrk tdk paham. Mau malu, tp bgni lah realita nya.",UdaZ
@AhmadJapra7,2025-03-28 23:49,Ngotot banget mas? Sudah jelas RUU TNI itu buat membatasi ruang gerak TNI dengan UU kok,AhmadJapra
@mariareareo,2025-03-28 23:49,Polisi sm TNI juga ya tolong hindari,mar
@H1m4_W4r1,2025-03-28 23:49,"Komando teritorial itu satuan terdepan @tni_ad @Puspen_TNI yg berfungsi sebagai pertahanan & keamanan serta pembinaan teritorial.
Klo ada bencana, mrka yg langsung turun sebagai perwakilan pusat.
OPM ngerasa geraknya terbatasi dngn kehadiran komando teritorial.
Udah paham BLOK.",HimaWari
@itsusernamesure,2025-03-28 23:49,"Buat protect orang lain. Gua harap lu semua pada mikir kebahagiaannya youngseo juga sekarang. Jujur gua sedih pas ada kabar seneng tentang dia, lu pada rame2 ngikut. Lah pas ada kabar gak ngenakin kek snper22 sama troncat pake dia as their pfp lu pada diem2 bae",🏎️ 🏁 | TOLAK UU TNI
@bbladiee,2025-03-28 23:48,3 kelompok presentasi tentang Positifnya uu tni🙄🙄❗❗,eqin
@myamoresnr,2025-03-28 23:48,"Oh ma god ijazah palsu apakah ngetrend skli d pejabrut, tni dan sekitamrya?",アルフｲ
@AhmadJapra7,2025-03-28 23:48,"Walaupun Militer Presiden Prabowo sangat Demokratis dengan mendirikan Parpol. Gaya kepemimpinan Militer beliau tidak bisa lepas dr didikan sejak dini beliau. RUU TNI menyebabkan ruang gerak TNI dibatasi dengan UU,sehingga ketakutan akhir-akhir ini tidak terlepas dari hal politik",AhmadJapra
@MeiMeiharl,2025-03-28 23:48,"Indonesia itu gw liat makin bego aja. Lagian ruu tni diurusin sampe demo, giliran ruu perampasan aset ga ada yg demo. Ini demonstran bayaran atw apasih? Banyak dramanya ajg,",Mei
@eazy_scorpio,2025-03-28 23:47,Iya makanya kalo yg bermasalah di tubuh TNI harusnya jgn kabur ke zona sipil.,Yaku
@Gunawan75_,2025-03-28 23:46,"TNI akan lakukan operasi siber, sasar pihak yang lemahkan kepercayaan terhadap pemerintah.....",gunawan wbs 🇮🇩
@__hazelnia,2025-03-28 23:46,"najis ""tni ku"" ee kambing",blu 🌙
@dunianichimanji,2025-03-28 23:45,"TNI di BPH? oooh siapa tau para hajiawan dan hajiwati sekalian dikasi pelatihan senapan laras panjang untuk bisa proteksi diri dan atau ikut membantu front depan di Gaza 🥹 ga mungkin dooong buat ""mempermulus"" korupsi dana haji ya khaaaaan kan kita negara ISLAMI niiiichhh",nichimanji 🍉 your local streamer
@itsusernamesure,2025-03-28 23:45,"Siapa pun dibalik keluarnya dia gak bakalan gua maafin. 5 taun jadi trainee lu gagalin dalam sesaat wkwk. Gegara lu sampe sekarang Youngseo kena hate gegara out padahal dia dari surshow. Belum lagi dibayang2in ""klo youngseo di sana pasti blablabla"" youngseo bukan sekedar tameng",🏎️ 🏁 | TOLAK UU TNI
@grok,2025-03-28 23:45,"TNI seharusnya fokus pada pertahanan dan keamanan, bukan urusan sipil, agar demokrasi terjaga. Namun, UU baru Maret 2025 memperluas peran TNI ke jabatan sipil, seperti di Kejagung dan MA, memicu protes dan kekhawatiran akan kembalinya dominasi militer era Soeharto. Ini menunjukkan TNI tidak berfungsi sesuai ideal demokrasi. grok.x.com",Grok
@florykf,2025-03-28 23:44,"Liat draft Revisi UU TNI. Katanya kita gak akan kenapa napa

Pretttt

Bahasa bisa berubah makna sesuai apa yang kita mau.

Lu kagak pernah liat UU pencemaran nama baik dan ITE kah?",(✿っ• ͜ •)╮=͟͟͞♡
@Dekaprakoso1,2025-03-28 23:44,Kl loe takut jgn jadi TNI.. udah tugas loe ngtot,Deka prakoso
@S_Farizi,2025-03-28 23:44,"Sama kaya uu tni, yang enak cuma segelintir doang, prajurit dapat hikmahnya doang",Sulaiman Al Farizi
@tiadxyz,2025-03-28 23:43,"Anggota elu yg pangkat rendah kan pak? Kalo yg pangkat tinggi gimana? Kan UU TNI cuma buat yg pejabat2 aja alias pangkat tinggi, pangkat rendah mah remahan rengginang, tapi ya mo gimana yak ah sudahlah.",namaku
@H1m4_W4r1,2025-03-28 23:43,"Opini based facts, emangnye lu yg komen kosongan tanpa bawa sedikitpun.
Coba lu pake otak lu yg kerdil itu.
Narasi awal nolak dwi fungsi TNI yg masuk ke jabatan sipil, lha knp skrng ada agenda pembubaran komando teritorial & penarikan militer dr Papua?",HimaWari
@narabbita,2025-03-28 23:43,"Dengan disahkannya RUU TNI saja, bisa di lihat kan? Betapa kejamnya orang Indonesia? Karena menurut aku pribadi, apa yang sedang terjadi indonesia ini termasuk musibah juga. Tentang kemanusiaan. #TolakRUUTNI",ta.
@abidin31864,2025-03-28 23:43,"Kalau mau santai di rumah, nggak mau perang ya jd sipil biasa, jgn jd TNI. koplak",Lucky Man
@itsusernamesure,2025-03-28 23:43,"Wkwk jadi ceritanya trainee soumu jadi tumbal gitu? Koplak lu semua yang ngegagalin debutnya Youngseo. Alasan gk dituntut karena foto yg dileaked bukan privasi, padahal jelas2 itu ss-an ig temennya di share ke publik tanpa konsennya dia. lu semua gaada niat lindungin youngseo",🏎️ 🏁 | TOLAK UU TNI
