username,date,tweet,fullname
@winterlico,2025-03-28 19:12,ADUH PAKE LAGU KLA PROJECT GMN GAK MAKIN WKDHWKDHSJD,aila ꩜ .ᐟ | TOLAK UU TNI 🦅
@schypozoza,2025-03-28 19:11,"WKWKWKW
Malem paling sial
Untung ada risol, kalo gk udah aku hancurin ini bumi",rikiel #TOLAK RUU TNI
@Boejeng2,2025-03-28 19:10,"Oh... rupanya Media corong Soros, adu domba TNI vs rakyat, bikin gaduh & akhirnya  Indonesia jd negara lemah. Klu mmg mmg gak didanai asing coba keluarkan soros dari tempo.",Boejeng
@setiana_rifki,2025-03-28 19:10,"masih menjadi perdebatan hingga detik ini terkait progres RUU TNI menjadi UU, lalu selanjutnya mengenai pembahasan RUU Kuhap, dan isu RUU polri yang tidak masuk daftar proglegnas prioritas harus kita pertanyakan urgensinya dan kita kawal
#TolakRUUKUHAP #TolakUUTNI #TolakRUUPolri",Rifki setiana rachman
@lilourelle,2025-03-28 19:09,LUCUUU,lou 𓅹 TOLAK RUU TNI‼️
@pokemonair88,2025-03-28 19:08,"Berarti si pramono dukung UU TNI wkwk 

Padahal bentuk kritiknya bagus kok 

Jd nyesel dukung dia kmren",andi
@jesicaolla,2025-03-28 19:08,"Kalo TNI/POLRI tanpa senjata ya habis dong yg di lapangan, 100 dikeroyok 500 ketika dilawan media nge goreng berita aparat ini lah itu lah, wong sudah salah sasaran makin dibuat buat...

Demo itu hak semua WNI, tapi kudu tepat sasaran lah semuanya pasti di dengar tapi ya pelan""",𝚜 𝚞 𝚐 𝚊 𝚛 𝚙 𝚎 𝚊 𝚌 𝚑
@muhamad_perdana,2025-03-28 19:08,"Mendukung UU TNI bukan berarti tidak bisa berkomentar mengenai perlakuan semena-mena aparat terhadap demonstran dan  paramedis, ayo bersuara lindungi paramedis menjalankan tugasnya. @Gamal_Albinsaid  bukan kah anda juga seorang dokter??",perdana.com
@sebatanglah,2025-03-28 19:07,"ngerti g si? ""kembalikan TNI ke barak"" bukan berarti nyuruh kalian pulang dari tempat tugas kalian dik TNI, melainkan utk menarik kalian dari pembolehan masuk ke jabatan sipil yang MEMANG SEHARUSNYA BUKAN WEWENANG KALIAN, JADI LEBIH BAIK KALIAN DI BARAK SAJA! itu hal sederhana lo",pinjem korek
@schypozoza,2025-03-28 19:07,"Dulu punya temen ws classic 80 an kayknya, tiap mabar sama dia was was takut kalah 😭",rikiel #TOLAK RUU TNI
@schypozoza,2025-03-28 19:07,17x wkwkw,rikiel #TOLAK RUU TNI
@KingArthur21921,2025-03-28 19:07,Buzer sudah mulai digerakan,King Arthur
@akuakanbahagiaa,2025-03-28 19:07,"saking fokusnya edukasi diri sendiri sama sekitar biar aware sama UU TNI dan RUU POLRI, gue gak inget kalau 2 temen gue bapaknya TNI dan 1 sodara gue polisi (sodara jauh sih alurnya). dan.... gue koar-koar di Instagram.... 🤝🏻",pipipipiiiiippppppp
@lilourelle,2025-03-28 19:06,"tau sih rasanya capek (krn ak jg capek) but cb pikirin ortu km nder. iyasih km mungkin biasa aja, tp kan ortumu pasti kangen sm keluarganya. nnti pas km dewasa pasti paham knp ortu sll mudik pas lebaran. saranku km banyak berdoa spy selamat dan banyak banyakin bersyukur ya",lou 𓅹 TOLAK RUU TNI‼️
@lovlof999,2025-03-28 19:06,Coba sini jelasin uu tni menurutlu blok goblok,Louvery
@un_dreilukas,2025-03-28 19:06,Keinget dulu sempat ramai isu LGBT di TNI. Hiiiii najooong...,Begajul Ibukota
@lovlof999,2025-03-28 19:06,Pantes lu goblok gobloknya banget banget. Dom Aceh tapi gatau betapa sadisnya tni dulu di aceh. Pantes gapunya ibuk,Louvery
@novantho_,2025-03-28 19:06,apa semua tni begitu ya mengidap dunning krugger?,Setya
@weirdyall_,2025-03-28 19:05,"WKWKWKWK RUU TNI, RK SAMA GUNDIK, THAILAND GEMPA, SELEBGRAM JADI SELINGKUHAN DAN SEKARANG MAYOR TEDDY PACARAN SM YG GANTENG JUGA😭",AW06IPA5
@alda_nageha,2025-03-28 19:05,"Dengan RUU yang jelas, TNI bisa fokus latihan dan modernisasi, bukan tarik ulur kepentingan.",Alda Nageha
@schypozoza,2025-03-28 19:05,Kalo km pake bened hpku langsung tak lempar ke tetanggaku 🙏,rikiel #TOLAK RUU TNI
@alamtegarrrr,2025-03-28 19:05,"Sebab ketika TNI terseret ke ranah politik dan kepentingan tertentu, kepercayaan rakyat akan terkikis, dan netralitasnya sebagai penjaga negara bisa dipertanyakan. Institusi yang seharusnya menjadi benteng pertahanan malah berisiko kehilangan kehormatannya.

- @tham878",TeGarAlam
@jesicaolla,2025-03-28 19:05,"Yg aku sayangkan udahlah mereka ngerasa ga digubris tapi anarkis, mereka marah ke pemerintah tapi yg diserang TNI/POLRI di lapangan yg bahkan resiko pertaruhan nyawa nya sama kaya para demonstran... aparat vs pendemo itu kaya 100 : 500 udah kalah jumlah, salah sasaran marahnya",𝚜 𝚞 𝚐 𝚊 𝚛 𝚙 𝚎 𝚊 𝚌 𝚑
@alamtegarrrr,2025-03-28 19:05,"Semestinya, bila TNI telah berada di jalan yang benar dan mulia, tidak ditarik ke ruang yang bisa membuat reputasi dan citra TNI mengalami depresiasi di mata rakyat.

- @tham878",TeGarAlam
@schypozoza,2025-03-28 19:04,Besokkk 😁😁😁,rikiel #TOLAK RUU TNI
@grok,2025-03-28 19:04,"Mboten wonten salahipun menawi pamarentah Indonesia ngreskakaken nerusaken RUU TNI lan POLRI kangge ngelaksanakaken agenda Presiden Prabowo Subianto, amarga latar belakangipun militèr lan fokusipun nguataken peran militèr ing pemerintahan. RUU TNI, sing disahaken tanggal 20 Maret 2025, ngidinaken luwih akeh perwira militèr ing jabatan sipil, nuwuhaken kuwatir babagan demokrasi lan hak asasi manungsa, kanthi protes amarga prosesipun cepet. RUU POLRI taksih dipunrembag, kanthi informasi umum sing kurang, nanging mbokmenawi nduweni maksud sing sami. Ingkang ndadak yaiku panjaluk budaya ing kiriman X kanggo nerangaken kanthi basa Jawa Krama Alus, nuduhaken keragaman linguistik ing wacana politik.",Grok
@hanifhan76,2025-03-28 19:04,"🤣🤣🤣ini apaan ini, justru TNI lah yg melindungi. apa kamu ikut mengalami 98? Dm lah bukti yg kamu punya",مُحمَّدْ حَنْيف
@schypozoza,2025-03-28 19:04,Mksdnya ap yah,rikiel #TOLAK RUU TNI
@vinc_dev5,2025-03-28 19:03,"Sarkas sih dia. Emang tujuan uu penguatan tni kan itu, agar tni bisa bebas memperkosa rakyat indonesia dengan kebal hukum",vin
@alamtegarrrr,2025-03-28 19:03,"Keberpihakan TNI bukan pada kekuasaan, tetapi pada tugas sucinya sebagai garda terdepan bangsa. Lelahnya jadi berkah bagi rakyat banyak.

- @tham878",TeGarAlam
@muhamad_perdana,2025-03-28 19:02,"@PKSejahtera tolonglah kalau gak mau komentar mengenai UU TNI gak papa tapi minimal komentar lah mengenai paramedis yang di serang. kalau kalian begitu peduli dengan  isu HAM di Palestina, sebaik nya kalian juga bicara mengenai isue HAM di Negeri sendiri.",perdana.com
@alamtegarrrr,2025-03-28 19:02,"TNI dekat dan berada di hati rakyat karena tidak berpolitik/masuk ke struktur sipil, melainkan karena mengabdi sepenuhnya untuk pertahanan negara, menjaga kedaulatan, dan melindungi rakyat tanpa kepentingan politik.",TeGarAlam
@Faranadewi,2025-03-28 19:02,"bravo TNI, bukti keseriusan dlm hukum",Fara Kirana Dewi
@IIlpiyanti,2025-03-28 19:02,Purwakarta 80 persen mendukung UU TNI di sahkan,Ipi Ilpiyanti
@rarasekarwjya,2025-03-28 19:02,"langkah tegas TNI, bikin hormat makin nambah",Rara Sekar Wijaya
@jumari_krnawn,2025-03-28 19:02,"TNI/Polri butuh aturan detail, agar mereka tak bisa semaunya.",Jumari Kurniawan
@Rizal010102,2025-03-28 19:01,"Mestinya apresiasi adalah TNI yg tugasnya di daerah konplik dan perbatasan....minimal ada jam lembur berlaku,,agar penghasilannya lebih....",kopi pagi
@EkinYekin,2025-03-28 19:01,"UU TNI di cabut,TNI Kembali ke aja ke markas biarlah mereka yg mendemo yg gantikan tugas²,tolong kirim mereka ke Papua gantikan TNI di sana kan mereka minta TNI kembali ke barak...",Yekin Ekin
@din0ikie,2025-03-28 19:01,"Makanya dulu jangan jadi TNI, gara gara kalian lolos karena nyogok pakek uang ,jadi orang yang bener bener pengen jadi TNI dan ingin mengabdi kepada negara jadi gak lolos",Dinoikie
@ImanradyE,2025-03-28 19:01,"Bagus...tapi jangan lupa beri perhatian thdp saudara, anak2 kita yg sedang berjuang untuk kepentingan bangsa menolak RUU TNI.",@imanrady.es
@AGoeci,2025-03-28 19:01,"Lu TOLOL, jika UU TNI dicabut bagaimana cara mengatur yg pegang senjata.
Percuma lu ngaku sejarahwan tapi otak kopong.",St. Rajo Alam
@matrances,2025-03-28 18:59,Tidak pernah merasa se-No Surprises by Radiohead ini pasca disahkannya UU TNI,Lily (My One and Only)
@wtbugf,2025-03-28 18:59,"gua kan seharian ini nonton marapthon ya, mereka ga ada satu pun yg speak up tentang ruu tni ini atau melek tentang politik gitu kah? i mean, platfrom mereka gede bgt dan bagus bgt buat kasih awareness ke orang2 awam yg tadinya ga melek jadi melek tentang isu ini, imo.",fir
@AUDYSCO,2025-03-28 18:58,"Cuman berharap ada Hulk, Juggernaut, Colossus sama The Thing ngacak2 gedung DPR, istana negara, mabes TNI Polri dan rumah prabs dan gibs.",Prometheus
@HakeKitman,2025-03-28 18:58,Ga polisi ga TNI sama sama binatang,Hake Kitman
@AGoeci,2025-03-28 18:58,"Hey! 
Gerombolan MONYET! 
Jika UU TNI dicabut, UU mana yg mengatur tentara dan pertahanan negara.",St. Rajo Alam
@HakeKitman,2025-03-28 18:57,TNI bajingan asuuu,Hake Kitman
@humas_polsekjtu,2025-03-28 18:56,Bhabinkamtibmas Kel. Sangiang Jaya bersama tokoh masyarakat dan tokoh agama melaksanakan Berbuka Puasa bersama  ketua Rw 05 Bp.Herman Kel Sangiang Jaya selalu  (Tokoh Masyarakat ) untuk mengajak dan bersinergi Antara Pihak TNI- POLRI dan aparat Pemerintahan dengan Toga/Tomas,Polsek Jatiuwung
@iceybiru,2025-03-28 18:56,"Mereka
L= Lah goblok
I= Ih jijik banget bgst
B= Baru debut mental yupi
R= RUU tni kontol 
A= Anjing goblok banget ngurus negara

Kamu
L: Lah cantiknya aven
I: Iya pasti istri aven
B: Bini aventurine 
R: Rumahnya aven
A: Aventhea",Icey_loves_gemini888
@Faranadewi,2025-03-28 18:56,pastikan UU TNI baru lebih pro rakyat dan demokrasi,Fara Kirana Dewi
@AGoeci,2025-03-28 18:55,"Hey TOLOL! 
Jika UU TNI dicabut UU mana yg berlaku yg mengatur tentara dan pertahanan negara.",St. Rajo Alam
@aksarasegara,2025-03-28 18:55,"tiba2 fypku tiktokku isine full tentara sing ngeduetin tulisan ""kembalikan TNI ke barak"" ambek ngece foto slide pertama teko demonstrans sing gowo tulisan ""kembalikan TNI ke barak"" he KONTOL, SEMPAK KRO ATRIBUTMU IKU TUKU GAWE DUIT RAKYAT OJO KEMLINTI KYK GAISO MATI JANCOK ASU",🌊 #CabutUUTNI
@wibowogilang_,2025-03-28 18:55,kok bisa prajurit TNI AL kayak gitu? Malu-maluin aja,Gilang Nugraha Wibowo
@lelakibudiman,2025-03-28 18:55,"Dua belas tahun kemudian, 20 Maret 2025 UU TNI disahkan. Sebuah kebetulan yang asoi.",lelaki budiman
@IndiehomeAjg,2025-03-28 18:54,Udah yappingnya?,Morning Star
@HortenV2,2025-03-28 18:54,Justru RUU TNI sah komandan mereka makin enteng masalah finansial dan ngajak bawahan untuk YTTA.,PANAVIA
@arifagng16,2025-03-28 18:53,"gpp TNI, bersih2 dr oknum itu penting",Arif Agung Santoso
@puspitanoviayu,2025-03-28 18:52,brilian! TNI tunjukkan integritas tanpa kompromi,Ayu Novita Puspita
@yangbikinrb,2025-03-28 18:52,"aku paham, kekhawatiran militer akan jadi alat politik dan intervensi militer ke sipil seperti zaman Soeharto, tapi itu bukan karena UU TNI. kejadian tersebut karena abuse of power dari Soeharto (cmiiw)",~
@RioOchou,2025-03-28 18:51,"Tololnya buzzer wowo... Yg di demo itu agar petinggi TNI fokus ke kedaulatan bkn rangkap jabatan, TNI di negara manapun yg demokrasi tdk ada megang jabatan civil,jk masuk semua jabatan sipil tdk demokratis mrk selalu satu komando memakai cara² kekerasan dlm atasi solusi birokrasi",ochou londo
@AGoeci,2025-03-28 18:51,"Emak-emak TOLOL dan BEGO. 
Kalau UU TNI dibatalkan maka yg berlaku adalah UU ABRI. 
Di UU ABRI malah jelas ada dwifungsi.",St. Rajo Alam
@g3ndh3ng,2025-03-28 18:51,"serahkan semua pada ahlinya, urusan bela negara ya TNI, urusan kesejahteraan TNI tugas kita bayar pajak dan pemerintah yg ga korupsi",g3ndh3ng
@kidleaderr,2025-03-28 18:51,"""jangan ganggu tni ku"" bjir cringe bgt",melon
@Kiboy1305,2025-03-28 18:49,Tidak akan dikasih kalau bikin skck,Kiboy
@grok,2025-03-28 18:49,"Demo di Jakarta pada 27 Maret 2025 menentang revisi RUU TNI & RUU Polri berubah ricuh. Polisi gunakan meriam air dan gas air mata, beberapa terluka dan ditangkap. Ada seruan mundur karena situasi memburuk. grok.x.com",Grok
@AntonMariesie,2025-03-28 18:49,Inilah wajah asli aparat TNI/Polri: beringas dan kejam (justru) terhadap rakyatnya sendiri!,AquArie
@yangbikinrb,2025-03-28 18:49,militer bisa disidang dengan peradilan sipil. beberapa isu terkait perluasan wilayah jabatan militer aktif di pemerintahan dari 10 ke 14 berada pada ranah pertahanan dan keamanan. lalu juga isu TNI terlibat dalam siber juga jelas tertera konteksnya adalah cyber war (continue),~
@ArisandiRoberto,2025-03-28 18:47,Mbayangin kamu kapan nggantikan TNI ngajar di perbatasan,Roberto Arisandi
@ClawRuby,2025-03-28 18:47,"Cobain ke koruptor indon, pulici atau oknum tni yg cabul atau suka bunuh warga sipil pasti wow",Curse
@ArisandiRoberto,2025-03-28 18:46,Mending kamu pergi ke perbatasan ngajar nggantikan TNI ngajar,Roberto Arisandi
@yangbikinrb,2025-03-28 18:46,"plis kak, terlepas dari adanya kecurigaan dalam proses pengesahannya, UU TNI ini produk yg bagus dan adil (menurutku). justru karna ada UU TNI, anggota militer aktif yg mau menduduki jabatan sipil harus mundur (tidak bisa dwifungsi), justru karna ada UU TNI, anggota (continue)",~
@La_Manggilaa,2025-03-28 18:44,"Aksi unjuk rasa penolakan terhadap revisi Undang-Undang Nomor 34 Tahun 2004 tentang Tentara Nasional Indonesia (UU TNI) yang digelar di depan Kompleks Parlemen RI, Jakarta pada Kamis 27 Maret 2025 berakhir ricuh. Aksi unjuk rasa ini membawa tuntutan utama, 

#viral #sorotan",La Manggila
@komunalkiri,2025-03-28 18:44,"and one more thing, islamophobic. gue pernah dikatain sama mereka muslim ngomong allahu akbar sebelum ngelempar bom lah, gue kek ih apaan dah ga jelas. udah mana sok pinter ngomong ip di atas 3.5 gak sebagus itu. dih gue sih malu kalk sdm lo pinter2 tapi negaranya bau tai gitu 🤢",daanesh𖥸 | TOLAK RUU TNI
@baphometjoget,2025-03-28 18:43,eits siapa nih lucu banget mba nya☺️ populasi TNI polisi sama non TNI polisi banyak mana mbak?☺️,Peno Gremory
@l3rengmuria,2025-03-28 18:43,Kn lucu ato memang tdk tau? Mereka ini bekingan TNI. Knp km mimpi si oranye ditindak TNI,Fathur
@dinaslstri1_,2025-03-28 18:43,"Kalem, TNI bertransformasi. Baca laporan tahunan mereka.",Dina Sulastri
@post_peasent,2025-03-28 18:43,"Bu Puan yang terhormat, apakah Ibu masih bisa tidur tenang melihat kondisi saat ini? Mengingat Bung Karno dahulu bertumpu ke Pemuda, sementara lembaga yang ibu pimpin sekarang sengaja memicu dan membiarkan konflik horisontal antara pemuda mahasiswa, pemuda polisi, dan pemuda TNI.",darwinto
@twilightslig,2025-03-28 18:42,"Pak Mul....
Pati ** mustinya dirjen kementrian lendir pak ...
Wah @jokowi memang nya PIK 2 ga ada slot Komisaris toh? @Puspen_TNI @prabowo wah bisa terlalu kentara nanti sama rakyat - masa smua JV nya Aguan, TW , Salim di isi Pati tNI ... Cuek aj pak , DANANTARA aj bisa",Padre
@MunafirAhmad,2025-03-28 18:42,Jadi TNI itu pilihanmu kuc...,Rief'@n
@grok,2025-03-28 18:42,"Pascapengesahan UU TNI pada 20 Maret 2025, buzzer makin ramai di X kemungkinan untuk mendukung UU tersebut dan melawan oposisi publik. UU ini memperluas peran militer di urusan sipil, memicu protes karena dianggap ancam demokrasi. Aktivitas buzzer meningkat tajam pasca-ratifikasi, bertepatan dengan demo, menunjukkan upaya terkoordinasi untuk mengendalikan narasi di tengah kontroversi.",Grok
@RagaSukma_1,2025-03-28 18:42,"@RadioElshinta serdadu @Puspen_TNI @tni_ad @_TNIAL_ culun,tolol goblok, makanya jual sawah biar bisa bayar biar bisa pilih mau tugas di kota besar,di ruang ber AC  seperti para elit TNI,
#TolakUUTNI #TolakRUUPolri #CabutUUTNI  awas bahaya rejim Militer",StopPanggilSayaGus
@crwzyneon,2025-03-28 18:42,"ya allah bener2 udh muaaakk denger tni polisi ngebunuh2in warga sipil teruussss. kyk nyawa manusia gaada hargany di mata lu semua njink, pembunuh🫵
naudzubillah min dzalik amit amit jabang bayi jan sampe gue ampe 7 turunan gue dpt jodoh org profesi tni polri NAJISSS",taniah 
@reinheart13,2025-03-28 18:42,"Hebat ya kalau ngurusin ginian cepet banget gercep langsung bersih. RUU TNI juga sat set jadi. Mungkin bisa dicoba bikin mural di jalan yang rusak, yaaa siapa tahu jalannya diperbaiki kan? 😊😊 #CabutUUTNI #TolakRUUPolri",Reinheart13
@happy166801,2025-03-28 18:41,Klo pinter mah ga jadi TNI 🤡🤡🤡,Shiori CFXX Comipara4 Prep
@Phandoraxx,2025-03-28 18:41,"Please demo UU Polri, lebih urgent. TNI dikasih kemewahan masih lebih ikhlas karena udah bertaruh nyawa walaupun ga ikhlas, polisi ngapain? sabung ayam? ngurus lalu lintas aja dongo",Lawyer breakdance
@grok,2025-03-28 18:41,"Halo bro, RUU TNI sama Polri iki dikira cepet disahne ben ndukung agenda Presiden Prabowo, sing emang asalé tentara. TNI saiki bisa ngurus sipil, umuré pensiun ditambah, Polri juga bakal kuat. Wong akeh protes, takut demokrasi ama hak asasi mundur, kaya jaman Suharto. Uniké, iki diminta pake basa Indramayu, ben luwih deket karo wong kene. grok.x.com",Grok
@winterlico,2025-03-28 18:41,haduh maaf salfok sama JANA YG GANTENG ITU OMG COWOKKU AAAKKK KAKKK NOAAA kpn au Jana rilis 😭😭😭😭,aila ꩜ .ᐟ | TOLAK UU TNI 🦅
@waannn______,2025-03-28 18:41,"Ngerti kata ""barak"" ga sih TNI ini?? Kok diminta mahasiswa untuk kembali ke habitat militer dia malah sewot dan iri-irian. Trus sebenarnya TNI-POLRI kaya gini sebenenarnya ngerti ga sih kerjaannya apa? Visi misinya apa? Tujuannya apa? Kok makin kesini bnyk keliatan yg aneh yakk",Ar.World
@AntonMariesie,2025-03-28 18:40,"Teruslah berjuang wahai mahasiswa penerus generasi bangsa. Di pundak kalianlah digantungkan cita-cita bangsa, bukan di pundak TNI/Polri.",AquArie
@_haye_,2025-03-28 18:40,"Ini negara kacau balau banget. Ada orang yg katanya ‘penasihat’ bisa bicara soal kelola TNI dari St. Petersburg. Ada yg mengaku ‘dosen’ kelilingan dengan kerongkongan disponsori Ukrainia dan Washington. Ada LSM bicara dwifungsi dengan titipan OECD.

TNInya pake anggaran buzzer…",Haye Targaryen
@komunalkiri,2025-03-28 18:40,"bagus lah, gue ga ngerasa sendiri. males bgt ama mereka ga punya etika, ribet, bitter, rasis",daanesh𖥸 | TOLAK RUU TNI
@Demos_is,2025-03-28 18:39,"Ini bukti TNI memang buruk, uang segitu buat bayar buzzer yang di bawah pada miskin, mudik lebaran saja sampe takut, bangsat kalian. Lawan habis²an buzzer

#CabutUUTNI 
#TolakRUUPolri",Demos
@moscow_hahaha,2025-03-28 18:39,Dih kartun doang bayar,The SEA Dude 🇵🇸
@ezakielraden,2025-03-28 18:39,"Masih ga ngerti sama tugas dpr di negara ini kaya???? Bukannya tugas lo dengerin apa yang rakyat mau MEWAKILKAN SUARA RAKYAT, ini hampir seluruh rakyat menolak ruu tni KOK LU MASIH DIEM’ AJE ANJING",ezkiell
@FaisalBang4848,2025-03-28 18:39,"UU TNI menimbulkan problematik dan perdebatan...
tribunnews.com/nasional/2025…
vt.tiktok.com/ZSrYS21F9/
#TolakRevisiUUTNI",bang Faisal
@suarasemarangs,2025-03-28 18:39,"Tegaskan Hukuman Berat Jika Terbukti Bersalah, TNI Berharap Tak Ada Opini Terkait Kasus Pembunuhan Juwita, Wartawan di Banjarbaru
suarasemarang.id/nasional/13…",Suara Semarang
@grok,2025-03-28 18:38,"Menggunakan ""bahasa tubuh"", pemerintah tampak ""menyilangkan tangan"", menunjukkan tekad kuat tapi tertutup dialog soal RUU TNI dan Polri. Haste ini seolah ""mengangkat bahu"" untuk memperkuat peran militer, sesuai agenda Prabowo. Publik ""mengerutkan kening"", menolak via protes karena proses cepat dan minim konsultasi. TNI ""memamerkan otot"" dengan peran baru di ranah sipil, memicu kekhawatiran demokrasi. Polri pun diantisipasi ikut ""berdiri tegak"", memperluas kuasa. Reaksi keras masyarakat dan pakar jadi ""tanda seru"" atas ancaman supremasi sipil.",Grok
@phuw1ntang5,2025-03-28 18:38,"Di luar konteks demo aja udah kayak gini kelakuan mereka, gimana menghadapi para pendemo, udah jelas terbukti dengan banyaknya Vidio yang tersebar, saya harus berfikir positif apa lagi dari pihak polisi/TNI?",itsaboutyou.
@PolsekCbbulang,2025-03-28 18:38,"Akp Ali Nurdin Pimpin Patroli Gabungan Tni Polri Polpp Sisir Lokasi Balapan Liar Dan Lokasi Rawan Untuk Tawuran Antisipasi Sahur On The Road Dan Balapan Liar

BOGOR -  Humas Polsek Cibungbulang - Kapolsek Cibungbulang Kompol M. Heri Hermawan",Polsek Cibungbulang
@Cholszzz,2025-03-28 18:38,"@grok kenapa pascapengesahan UU TNI, buzzer makin ramai di X?",no name
@winterlico,2025-03-28 18:37,EMG BOLEH SELUCU INI??????,aila ꩜ .ᐟ | TOLAK UU TNI 🦅
@xyloviadarasari,2025-03-28 18:36,mantap TNI! Langkah tepat hukum tegas buat oknum nakal,Xylovia Dara Sari
@su39014,2025-03-28 18:36,UU TNI 2025 adalah yang merevisi UU no 34 Tahun 2004,Sutrisno Sutrisno
@phuw1ntang5,2025-03-28 18:35,"Polisi/TNI itu saya sudah memandang dari luar konteks demo ini, banyak sekali sekarang berita, pelecehan seksual, membunuh, itu ahkir akhir ini saya liat pelaku nya kalo gak polisi berarti TNI, ini salah satu contohnya.",itsaboutyou.
@ArisandiRoberto,2025-03-28 18:34,"Tugasmu kan soal hasto.. kenapa nyebrang ke uu tni?
Salah lapak",Roberto Arisandi
@ariefyuuu,2025-03-28 18:34,"Lu otaknya ga nyampe, kalau bangun jalan, jadi nakes harus TNI. BERARTI KURANG SDM NAKES DAN INFRASTRUKTUR, TNI JUGA SALAH DIEKSPLOITASI DI LUAR TUGASNYA GITU, MAU - MAU AJA. Gaada urusan bela negara kalau tupoksi tumpang tindih mah bego aja.",feira. (Devil Era)
@CMamahku,2025-03-28 18:33,"Rakyat yg mana? Yg dukung TNI masih banyak? TNI sudah disuruh kebarak. 

Mhs kapan ke kampus?",Cantiknya Mamahku
@secuired,2025-03-28 18:32,polisi. tni.,kinan (manifesting)
@winnie9y,2025-03-28 18:31,"INDONESIA GELAP
KAWAL SAMPAI MENANG!
#CabutUUTNI #TolakRUUPolri",naoi freetag
@SAWibowoo,2025-03-28 18:31,"Dengan revisi ini, semoga TNI semakin solid dalam menjaga kedaulatan negara dan tetap selaras dengan demokrasi.",Setyo Ari Wibowo
@ryannrahar,2025-03-28 18:31,TNI & POLISI kok goblok kabeh mas? @DivHumas_Polri @tni_ad @_TNIAU @_TNIAL_,beksayap
@IkyRevianto,2025-03-28 18:31,"Nih buat yang mau tahu besaran gaji TNI beserta segala tunjangannya....
money.kompas.com/read/2024/1…",🄸🄺🅈 🅁🄴🅅🄸🄰🄽🅃🄾
@AliviaCrypto,2025-03-28 18:30,"SEPERTI ITULAH BIROKRASI SIPIL,
MUDAH2AN DGN DSAHKAN UUD TNI MENJADI JAWABANNYA",AliviaCrypto | 🧙 Meshchain. Ai
@smarterpam,2025-03-28 18:30,"Iya cokk. Gw respect sama pengguna X yang melek masalah terkini tapi KADANG PIKIRANNYA GA MAU TERBUKA. Maksudnya misal ada fakta lain, tapi mereka ini masih kekeuh dengan idealisme mereka. Jadi semuanya disalahin. Belakangan behaviornya jadi kek gini.",P - A - M (bukan air minum)
@gagunaguna,2025-03-28 18:30,Emang yang didemo cuma UU TNI? Kan kita usahain RUU perampasan aset juga bang,Cgoblv
@tbiiasnandi,2025-03-28 18:29,"TNI tidak lapar kekuasaan, tapi kalian lapar panggung?",Tobi asnandi
@CampakaPwk,2025-03-28 18:28,"Menjelang Lebaran Idul Fitri, sinergitas antara TNI, Polri, & warga masyarakat semakin terlihat dalam kegiatan sosial. Salah satunya melalui kegiatan Jumat Bersih yang dilaksanakan di Pemakaman Umum Desa Benteng, Kecamatan Campaka, Kabupaten Purwakarta.
#PolriUntukMasyarakat","Polsek Campaka Purwakarta, Jawa Barat"
@myfairypink,2025-03-28 18:28,2. suami/anak polisi/tni makasih,roger taylor’s wife
@grok,2025-03-28 18:28,"Halo! Pemerintah Indonesia kayanya buru-buru luluskan RUU TNI sama RUU Polri buat dukung agenda Presiden Prabowo Subianto, yang punya latar militer dan fokus keamanan nasional. RUU ini mau besarkan peran TNI-Polri di institusi sipil, tapi banyak yang takut ini ancam demokrasi dan HAM. Prosesnya cepat, kurang transparan, dan minim konsultasi publik, makanya ada protes di mana-mana. grok.x.com",Grok
@yerhwg,2025-03-28 18:28,"ngakak udh kalah msh dibawa2 aj... rakyat mau pemakzulan bukan krn mau naikin si abah abah itu tp karena  inkompetensi yg menduduki jabatan... 

kalopun turun ke TNI dan masih sama aja memang TNI nya juga harus dibenahi",ayin 🫧 kinda ia
@buahfear,2025-03-28 18:28,tni❌️ tmi✅️,sasa
@hatzlerr,2025-03-28 18:28,"FAIR ENOUGH YA ANJING KARENA SEMUA ADA PORSI NYA DAN TUGASNYA MASING MASING. TNI ke barak, sipil tetap di wilayah sipil. MEMAHAMI GINI AJA MEREKA GA NYAMPE YA TUHANKUUUUU 😭😭😭",Peanut Butter
@melwid2_57,2025-03-28 18:28,Kata siapa TNI ga boleh diatur? Revisi itu bukti mereka mau diatur.,Melati Widyasari
@irsyadkhairan_,2025-03-28 18:27,"Naik ke lantai 4 membuat gw merenungkan beberapa hal, yakni ;

Naik Tingkat bisa
Naikin Taraf Hidup masyarakat sulit

Naikin RUU TNI cepat
Naikin RUU PA lambat 

Mobilitas vertikal itu ternyata cukup sulit yaaa.",Bangorers
@mipihyuck,2025-03-28 18:27,"Masuk tantee
#TolakRUUPolri 
#TolakRUUTNI",orang kaya Tolak RUU TNI
@kiSiboww,2025-03-28 18:26,"Bapak ini lagi bercanda apa gimana pak? Ini lagiii ricuh pasal ruu tni dan banyak kejadian demo juga tanggapan dan penyelesaiannya gimana ini pak, nasib rakyat mau dibwa kemna ada tindak lanjut? keadilan? apa dakon aja kita dakon?",sushiGang
@rikaaPutri99,2025-03-28 18:26,"salut, TNI komitmen jaga integritas negara",Rika Anggraini Putri
